# File generated fom CXRO data
# found in https://henke.lbl.gov/optical_constants/asf.html
#S 89 Ac
#UF1ADD 0.0
#N 3
#L PhotonEnergy[eV]  f1  f2
      194.5870     32.972600      5.208690
      197.7340     32.544600      4.953070
      200.9320     32.142700      4.709980
      204.1820     31.751200      4.478830
      207.4850     31.364800      4.259030
      210.8400     30.978100      4.050000
      214.2510     30.568700      3.863420
      217.7160     30.180400      3.715880
      221.2370     29.809300      3.573980
      224.8160     29.440700      3.437500
      228.4520     29.063300      3.306230
      232.1470     28.685900      3.201320
      235.9020     28.314800      3.102630
      239.7170     27.939400      3.006980
      243.5950     27.528300      2.928990
      247.5350     27.137600      2.895350
      251.5380     26.764800      2.862100
      255.6070     26.390800      2.829220
      259.7410     26.000500      2.796720
      263.9420     25.599200      2.794820
      268.2110     25.210000      2.807590
      272.5490     24.820900      2.820420
      276.9570     24.415000      2.833310
      281.4370     24.002100      2.872050
      285.9890     23.589400      2.914970
      290.6150     23.166300      2.958540
      295.3150     22.713500      3.002750
      300.0920     22.246200      3.082840
      304.9450     21.773900      3.169210
      309.8780     21.283500      3.257990
      314.8900     20.764500      3.349270
      319.9830     20.204600      3.443100
      325.1580     19.555700      3.539550
      330.4180     18.830700      3.741680
      335.7620     18.095500      4.015780
      341.1920     17.296000      4.366340
      346.7110     16.517700      4.840280
      352.3190     15.729400      5.365680
      358.0170     14.945400      6.026780
      363.8080     14.197300      6.772290
      369.6920     13.488800      7.585770
      375.6720     12.791000      8.473880
      381.7480     12.077900      9.483340
      387.9220     11.437700     10.658000
      394.1970     10.932400     11.978100
      400.5730     10.566100     13.361000
      407.0520     10.319400     14.851900
      413.6350     10.262400     16.458800
      420.3260     10.715700     18.007200
      427.1240     11.122500     19.221800
      434.0320     11.505400     20.518400
      441.0520     12.171500     21.741800
      448.1860     12.737400     22.679400
      455.4350     13.250500     23.657400
      462.8020     13.830300     24.677600
      470.2870     14.576200     25.617800
      477.8940     15.231700     26.363800
      485.6230     15.828800     27.131400
      493.4780     16.420800     27.921500
      501.4590     17.033200     28.734500
      509.5700     17.686100     29.571100
      517.8120     18.402300     30.432200
      526.1870     19.298200     31.318300
      534.6980     20.325700     31.979900
      543.3460     21.235200     32.475500
      552.1340     22.084100     32.978700
      561.0650     22.924300     33.489800
      570.1390     23.780000     34.008800
      579.3610     24.751600     34.535800
      588.7320     25.728700     34.878400
      598.2540     26.640800     35.198900
      607.9300     27.546200     35.522300
      617.7630     28.516000     35.848600
      627.7550     29.612600     36.045100
      637.9080     30.550400     35.999800
      648.2260     31.347000     35.954600
      658.7110     32.008700     35.909500
      669.3650     32.508500     35.981700
      680.1910     33.111900     36.271700
      691.1930     33.815900     36.564100
      702.3720     34.594300     36.858900
      713.7330     35.501900     37.156000
      725.2770     36.454900     37.229200
      737.0080     37.336000     37.237300
      748.9280     38.154700     37.245400
      761.0420     38.959700     37.253600
      773.3510     39.789100     37.261100
      785.8590     40.609000     37.211600
      798.5700     41.414700     37.162300
      811.4860     42.247200     37.113000
      824.6110     43.180500     36.959500
      837.9490     44.016900     36.643000
      851.5020     44.723800     36.316200
      865.2740     45.366600     35.978400
      879.2690     45.932300     35.631300
      893.4910     46.418800     35.287600
      907.9430     46.804600     34.947100
      922.6280     46.951300     34.609800
      937.5510     47.093500     34.747700
      952.7150     47.365000     35.008600
      968.1240     47.865500     35.380000
